Filename,Name,Description
princess-pink-celebration.png,Princess Pink Celebration,"A whimsical pink buttercream cake fit for a princess, celebrating her 20th birthday."
arsenal-passion-cake.png,Arsenal Passion Cake,"A bold red cake celebrating Arsenal fandom, dripping with white chocolate and adorned with soccer‑themed toppers."
paw-patrol-adventure-cake.png,Paw Patrol Adventure Cake,Celebrate with this playful vanilla cake featuring favorite Paw Patrol characters.
manchester-united-glory-cake.png,Manchester United Glory Cake,Show your Red Devils pride with this vanilla buttercream cake topped with the iconic Manchester United emblem.
butterfly-bloom-cake.png,Butterfly Bloom Cake,A white cake adorned with vibrant buttercream flowers and delicate edible butterflies.
golden-grandpa-celebration-cake.png,Golden Grandpa Celebration Cake,"A warm chocolate‑drip cake with copper and ivory swirls, honoring a beloved grandpa’s 50th birthday."
golden-virtue-cake.png,Golden Virtue Cake,"Gracefully adorned in gold, celebrating a Super Woman’s spirit and elegance."
golden-bloom-tier.png,Golden Bloom Tier,Sophisticated double‑tiered cake with luxurious gold leaf detailing and sugar roses.
trio-harmony-cake.png,Trio Harmony Cake,"A pastel ombré cake celebrating Taonga, Tapiwa, and Alinase with golden butterflies and name banners."
blue-frost-harmony-cake.png,Blue Frost Harmony Cake,A serene square cake with white and blue buttercream ombré frosting.
barcelona-spirit-cake.png,Barcelona Spirit Cake,A vibrant red‑and‑blue cake celebrating FC Barcelona passion with trophy and player toppers.
batman-cake-knight-tribute.png,Batman Cake Knight Tribute,A heroic vanilla cake topped with Batman decorations for the ultimate superhero fan.
blushing-bow-half-birthday-cake.png,Blushing Bow Half‑Birthday Cake,"A playful pink cake with bows and baby‑themed toppers, celebrating the adorable halfway‑to‑one milestone."
